# Name|price|house cost|rent|group|morgage value|w/ 1 house|w/ 2|w/ 3|w/ 4|hotel 
Mediterranean Avenue|60|50|2|purple|30|10|30|90|160|250
Baltic Avenue|60|50|4|purple|30|20|60|180|320|450
Oriental Avenue|100|50|6|light blue|50|30|90|270|400|550
Vermont Avenue|100|50|6|light blue|50|30|90|270|400|550
Connecticut Avenue|120|50|8|light blue|60|40|100|300|450|600
St. Charles Place|140|100|10|pink|70|50|150|450|625|750
States Avenue|140|100|10|pink|70|50|150|450|625|750
Virginia Avenue|160|100|12|pink|80|60|180|500|700|900
St. James Place|180|100|14|orange|90|70|200|550|750|950
Tennessee Avenue|180|100|14|orange|90|70|200|550|750|950
New York Avenue|200|100|16|orange|100|80|229|600|800|1000
Kentucky Avenue|220|150|18|red|110|90|250|700|875|1050
Indiana Avenue|220|150|18|red|110|90|250|700|875|1050
Illinois Avenue|240|150|20|red|120|100|300|750|925|1100
Atlantic Avenue|260|150|22|yellow|130|110|330|800|975|1150
Ventor Avenue|260|150|22|yellow|130|110|330|800|975|1150
Marvin Gardens|280|150|24|yellow|140|120|360|850|1025|1200
Pacific Avenue|300|200|26|green|150|130|390|900|1100|1275
North Carolina Avenue|300|200|26|green|150|130|390|900|1100|1275
Pennsylvania Avenue|320|200|28|green|160|150|450|1000|1200|1400
Park Place|350|200|35|blue|175|175|500|1100|1300|1500
Boardwalk|400|200|50|blue|200|200|600|1400|1700|2000
Reading Railroad|200|0|25|rail|100|50|100|200|0|0
Pennsylvania Railroad|200|0|25|rail|100|50|100|200|0|0
B & O Railroad|200|0|25|rail|100|50|100|200|0|0
Short Line|200|0|25|rail|100|50|100|200|0|0
Electric Company|150|0|0|utility|75|0|0|0|0|0
Water Works|150|0|0|utility|75|0|0|0|0|0
